,0,1,2,3,4,5,6,7
index,count,mean,std,min,25%,50%,75%,max
num_critic_for_reviews,4870.0,138.01026694045174,120.25385749181665,1.0,49.0,108.0,191.0,813.0
duration,4904.0,107.08911092985318,25.27858268395225,7.0,93.0,103.0,118.0,511.0
director_facebook_likes,4817.0,690.7054183101516,2832.1070423288593,0.0,7.0,48.0,190.0,23000.0
actor_3_facebook_likes,4896.0,630.9613970588235,1625.428768746409,0.0,132.0,365.5,633.0,23000.0
actor_1_facebook_likes,4912.0,6490.8758143322475,15103.081835243302,0.0,607.0,982.0,11000.0,640000.0
gross,4056.0,47621564.115384616,67363868.56103782,162.0,5008728.5,25035665.0,61099406.25,760505847.0
num_voted_users,4919.0,82618.19760113844,138285.84696128176,5.0,8356.5,33158.0,93757.5,1689764.0
cast_total_facebook_likes,4919.0,9574.64586298028,18159.992290171136,0.0,1394.0,3044.0,13611.5,656730.0
facenumber_in_poster,4906.0,1.3764777823073788,2.0234932873147504,0.0,0.0,1.0,2.0,43.0
num_user_for_reviews,4898.0,267.603511637403,372.83915532058603,1.0,64.0,153.5,320.0,5060.0
budget,4434.0,39288217.878664866,208557940.63450038,218.0,6000000.0,19850000.0,43000000.0,12215500000.0
title_year,4813.0,2002.4450446706835,12.453460447718939,1916.0,1999.0,2005.0,2011.0,2016.0
actor_2_facebook_likes,4906.0,1621.0715450468813,4010.2225850479144,0.0,277.0,593.0,912.0,137000.0
imdb_score,4919.0,6.437873551534859,1.1276060284056129,1.6,5.8,6.6,7.2,9.5
aspect_ratio,4593.0,2.222105377748933,1.4025137292269523,1.18,1.85,2.35,2.35,16.0
movie_facebook_likes,4919.0,7345.293555600731,19200.708188900076,0.0,0.0,160.0,2000.0,349000.0
