,0,1,2,3,4,5,6,7
index,count,mean,std,min,25%,50%,75%,max
somme_total,1735.0,2241.7580242074887,11712.0458668902,13.3,306.775,679.4399999999998,1684.9499999999998,280206.01999999984
nb_article_total,1735.0,1304.2438040345821,6532.908280014449,1.0,161.0,404.0,996.0,197491.0
nb_categorie_total,1735.0,96.18040345821326,269.93949355535483,1.0,17.0,42.0,102.5,7847.0
nb_factures,1735.0,4.192507204610951,7.844939839191988,1.0,1.0,2.0,5.0,201.0
mean_nb_article_facture,1735.0,261.4701105355265,1018.4825638721031,1.0,93.5,164.0,280.4,40498.5
mean_somme_par_facture,1735.0,447.78953532155754,2112.5501185599464,9.139999999999997,176.21,292.03000000000003,432.27829545454557,84236.25
mean_nb_categorie_facture,1735.0,22.91049043529096,20.6495896245607,1.0,10.0,17.0,29.0,171.0
mean_somme_par_article,1735.0,2.827988532342178,15.868261678218108,0.08561912894961572,1.3869131604696678,1.781724137931034,2.361692240437158,464.9
ecart_moy_2_achats,1735.0,154.1256484149856,153.32984664930095,0.0,31.0,62.0,365.0,365.0
ecart_min_2_achats,1735.0,156.2893371757925,160.67820282530707,0.0,8.0,63.0,365.0,365.0
ecart_max_2_achats,1735.0,193.96023054755042,136.14764920916969,0.0,73.0,144.0,365.0,365.0
day_of_week,1735.0,2.5152737752161385,1.4423455132387168,0.0,2.0,2.0,3.0,6.0
valeur_facture_1,1735.0,425.2245193083575,669.5309045188234,2.9,166.20999999999998,301.6,443.2849999999999,15160.900000000001
interval_jour_achat_n1,1735.0,4.620749279538905,3.826880358606324,0.0,1.0,4.0,8.0,12.0
interval_moyenne_horaire,1735.0,1.8057636887608068,0.5378104844042781,0.0,1.0,2.0,2.0,3.0
interval_heure_achat_n1,1735.0,1.7596541786743516,0.6228889572936267,0.0,1.0,2.0,2.0,4.0
labels,1735.0,9.159077809798271,6.367634357841583,0.0,4.0,11.0,14.0,19.0
